"Nom";"Prenom";"Groupe";"Lv2";"Provenance"
"ABON";"RENCAOS";"F3";"Esp Inter";""
"ACHOTTO";"UDROY";"F3";"All Inter";""
"AHOOR";"HOARHOLO";"F4";"All Ava";""
"AMBRUN";"EXOMO";"F4";"All Inter";""
"ANDAUY";"ENAN";"F4";"All Ava";""
"ANGA";"EOCEL";"F2";"dispensé";""
"ANJENOL";"ONAOT";"F3";"Esp Inter";""
"ANNOOR";"ODROC";"F2";"Esp Fdeb";""
"ANTEGUT";"ULOON";"F5";"All Deb";""
"ARONQUOR";"OORRO";"F5";"All Inter";""
"AU";"ONE";"F6";"dispensé";""
"AUDOLLEL";"AURED";"F5";"";""
"AULAOGNO";"HAMES";"F3";"Esp Fdeb";""
"AUOLOT";"OYONDEH";"F4";"Esp Deb";""
"AUQUOMBO";"EXOMO";"F3";"All Inter";""
"AURRO";"ARHOO";"F6";"dispensé";""
"AURRO";"RWEN";"F5";"Esp Fdeb";""
"AUSSUGO";"OCALES";"F2";"Esp Inter";""
"AUTTAU";"ESSONO";"F3";"Esp Inter";""
"BAUNGAU";"OMONAU";"F5";"All Deb";""
"CHWOOTZO";"OORRO";"F2";"All Ava";""
"DENFERO";"ENZE";"F3";"Esp Deb";""
"ERORSANN";"OMAN";"F3";"All Inter";""
"EBERD";"OCALES";"F3";"Esp Fdeb";""
"ELVEONG";"HAMES";"F6";"dispensé";""
"EMLO";"ERAUE";"F3";"dispensé";""
"EMOKANG";"UDROY";"F3";"All Ava";""
"EN";"U";"F6";"dispensé";""
"ENGEY";"UOLLEUMO";"F4";"All Ava";""
"EOLLERD";"YLVEON";"F2";"All Ava";""
"EONT MER";"OBESTOON";"F4";"Esp Fdeb";""
"EORO";"EROOM";"F5";"All Deb";""
"ERA";"LAROEN";"F3";"Esp Inter";""
"ERDOL";"RMOL";"F5";"Esp Inter";""
"ERGOLODA";"RENCOS";"F5";"All Deb";""
"EROCEL";"ONAOT";"F1";"All Inter";""
"ERORCHO";"YLVEON";"F1";"Esp Deb";""
"ERROOR";"EROAN";"F2";"Esp Inter";""
"ERUS";"OORRO";"F1";"Esp Fdeb";""
"EUBEGNEC";"LAROEN";"F3";"All Ava";""
"EUGEM";"UOLLEUMO";"F4";"Esp Fdeb";""
"EULET";"OORRO-YV";"F5";"disp";""
"EURON";"OEN FREN";"F5";"Esp Fdeb";""
"EVE EGUO";"DROENE";"F3";"disp";""
"GANGENG";"ORMENN";"F6";"dispensé";""
"HEA";"ONHUE";"F6";"dispensé";""
"HEA";"OEAFONG";"F6";"dispensé";""
"HEZO";"EAUTER";"F2";"dispensé";""
"HONRY";"UROLOO";"F2";"Esp Fdeb";""
