"Nom";"Prenom";"Groupe";"Lv2";"Provenance"
"ACHOGUDO";"AMEON";"F2";"Allemand Inter ";""
"AESMET";"RENCAOS";"F4";"Allemand Deb";""
"ALHOAN";"OLLOS";"F2";"Espagnol FauxDeb";""
"ANOOR";"NTAONO";"F5";"Espagnol Inter";""
"ANSOLOT";"ETHOOU";"F5";"Chinois";""
"AOGNENT";"ETTHOOU";"F2";"Espagnol FauxDeb";""
"ARCZEK";"RZYSZTAF";"F5";"Allemand Avancé";""
"AS SENTA";"YLVOO";"F2";"Espagnol Inter";""
"AUEZOZ";"ERRE";"F3";"Allemand Inter ";""
"AULOBELY";"ERTOEL";"F5";"Espagnol Inter";""
"AUOLLEUD";"ETHOOU";"F1";"Espagnol FauxDeb";""
"AURCEDO";"OORRO-VO";"F5";"Espagnol Inter";""
"AURGUOGN";"UROLOE";"F5";"Espagnol Inter";""
"AUROAU";"ONJEMON";"F3";"Allemand Deb";""
"AUSQUOT";"UOLLEUMO";"F4";"Allemand Deb";""
"AUSSNONO";"OHDO";"F3";"Espagnol Deb";""
"AYOR";"ERTHOLOM";"F5";"Espagnol Deb";""
"ECHORAN";"LOMONT";"F1";"Espagnol Deb";""
"EDAUO";"ORYEM";"F4";"Espagnol Inter";""
"ELOM HEL";"SMEE";"F5";"Espagnol Deb";""
"ELTOR";"NTHANY";"F3";"Allemand Inter ";""
"EMBRUN";"EBROCO";"F4";"Espagnol Deb";""
"EMEAUO";"SSEMO";"F5";"Espagnol Deb";""
"EN DO KO";"ONCONT";"F2";"Espagnol FauxDeb";""
"ENDOOCH";"ROC";"F4";"Espagnol Inter";""
"ENDORUTT";"ETOE";"F4";"Espagnol Deb";""
"EON";"HROSTARH";"F2";"Allemand Avancé";""
"ERCHOT";"ORAMO";"F5";"Espagnol FauxDeb";""
"ERCLEY";"SEBOLLO";"F3";"Espagnol FauxDeb";""
"EROT";"OROMY";"F4";"Espagnol FauxDeb";""
"ERRAUN";"NEEM";"F3";"Espagnol Deb";""
"ERREY";"ECHOD";"F4";"Espagnol FauxDeb";""
"ES";"OLRHONO";"F2";"Allemand Inter ";""
"ES";"ONCONT";"F5";"Espagnol Inter";""
"ESSORET";"ANETHEN";"F1";"Allemand Inter ";""
"ESSOROEU";"OORRO";"F2";"Espagnol FauxDeb";""
"EUCHOZ";"AMEON";"F2";"Espagnol Deb";""
"EUROS";"ROC";"F1";"Espagnol Deb";""
"GBANDA K";"ETHENEOL";"F5";"Norman USA";""
"HAUNY";"EBOON";"F2";"Espagnol Inter";""
"HELFELLE";"AHEMOD";"F4";"Allemand Deb";""
"HELMON";"YLVEON";"F1";"Chinois";""
"HEN";"EKSMOY";"F3";"Chinois";""
"HOMONEDO";"RENCAOS";"F4";"Allemand Inter";""
"HOVONOT";"OBESTOON";"F5";"Allemand Inter ";""
"L MENOER";"OCHEM";"F4";"Espagnol Deb";""
"L ODOLBO";"ECOM";"F1";"Espagnol FauxDeb";""
"LOAN";"ULOON";"F2";"Espagnol FauxDeb";""
"LOMONCO";"EVOOR";"F2";"Allemand Deb";""
