"Nom";"Prenom";"Groupe";"Lv2";"Provenance"
"ABON";"RENCAOS";"";"Esp Inter";"PT"
"ACHOTTO";"UDROY";"";"All Inter";"PSI"
"AHOOR";"HOARHOLO";"";"All Inter2";"PC"
"AMBRUN";"EXOMO";"";"All Inter";"PSI"
"AMONGOR";"NTAONO";"";"Esp Inter";"DUT Info"
"ANDAUY";"ENAN";"";"All Inter2";"MP"
"ANJENOL";"ONAOT";"";"Esp Inter";"DUT Info"
"ANNOOR";"ODROC";"";"Esp Fdeb";"DUT Imagerie"
"ARONQUOR";"OORRO";"";"All Inter";"L2"
"ARTHOAOS";"UONTON";"";"All Inter";"MP"
"AULAOGNO";"HAMES";"";"Esp Fdeb";"MP"
"AULEOCH";"USSEME";"";"Esp Deb";"L2 Math Info"
"AUOLOT";"OYONDEH";"";"Esp Deb";"PC"
"AUQUOMBO";"EXOMO";"";"All Inter";"MP"
"AURRO";"ARHOO";"";"chinois";"MP"
"AURRO";"RWEN";"";"Esp Fdeb";"Nantes"
"AUSSUGO";"OCALES";"";"Esp Inter";"MP"
"AUTTAU";"ESSONO";"";"Esp Inter";"DUT STID"
"BAUNGAU";"OMONAU";"";"All Deb";"DUT Stats"
"CHWOOTZO";"OORRO";"";"All Inter2";"MP"
"ERORSANN";"OMAN";"";"All Inter";"MP"
"EBERD";"OCALES";"";"Esp Fdeb";"PC"
"EENOB";"EJLEE";"";"All Deb";"MP"
"EGEYE";"DOERETAU";"";"Esp Deb";"TSI"
"EJMO";"AHEMOD O";"";"Esp Deb";"PSI"
"ELLEH OL";"THMENO";"";"Esp Deb";"MP"
"ELVEONG";"HAMES";"";"chinois";"Clermont 1"
"EMOKANG";"UDROY";"";"All Inter2";"PC"
"ENGEY";"UOLLEUMO";"";"All Inter";"MP"
"EOLLERD";"YLVEON";"";"All Inter2";"PC"
"EONT MER";"OBESTOON";"";"Esp Fdeb";"MP"
"EORO";"EROOM";"";"All Deb";"L3"
"ERA";"LAROEN";"";"Esp Inter";"PT"
"ERBOOR";"OMO";"";"Esp Deb";"TSI"
"ERDOL";"RMOL";"";"Esp Inter";"MP"
"EROCEL";"ONAOT";"";"All Inter";"MP"
"ERORCHO";"YLVEON";"";"Esp Deb";"DUT BioInfo"
"ERROOR";"EROAN";"";"Esp Inter";"DUT BioInfo"
"ERUS";"OORRO";"";"Esp Fdeb";"DUT Info"
"EUBEGNEC";"LAROEN";"";"All Inter2";"MP"
"EUGEM";"UOLLEUMO";"";"Esp Fdeb";"PC"
"EURON";"OEN FREN";"";"Esp Fdeb";"DUT Info"
"GANGENG";"ORMENN";"";"All Deb";"L3 Info"
"GEZAU";"EHMAUD";"";"";""
"GUOBO";"L MOHDO";"";"Esp Inter";"MP"
"HEKRO";"USSEME";"";"Esp Fdeb";"MP"
"L BRONO";"AHEMOD";"";"All Deb";"L2 Math Info"
"L KEDORO";"EOCEL";"";"";""
"L KHEORO";"AUSSOF";"";"Esp Deb";"MP"
